quarter,UK real GDP,UK nominal GDP,UK CPI,UK unemployment rate,UK corporate profits,UK household income,UK residential property price index,UK commercial real estate price index - aggregate,UK commercial real estate price index - prime,UK commercial real estate price index - secondary,UK equity prices,Bank Rate,Sterling IG corporate bond spread,Sterling HY corporate bond spread,Secured lending to UK individuals,Consumer credit to UK individuals,Lending to UK PNFCs,PPP-weighted World real GDP,Oil price,Volatility index,GBP-EUR exchange rate index,GBP-USD exchange rate index,Euro area real GDP,France real GDP,Germany real GDP,Ireland real GDP,Euro area consumer price inflation,Euro area unemployment rate,ECB policy rate,Euro area residential property price index,Euro area commercial property price index,US real GDP,US unemployment rate,US equity prices,US policy rate,US residential real estate price index,US commercial real estate price index,US dollar IG corporate bond spread,US dollar HY corporate bond spread,Brazil real GDP,China real GDP,China household income,China residential property price index,Hong Kong real GDP,Hong Kong unemployment rate,Hong Kong residential property price index,Hong Kong commercial real estate price index,India real GDP,Singapore real GDP,South Africa real GDP,South Korea real GDP,period_kind,UK nominal GDP index
Q3 2002,364371.0,282655.0,95.5,5.3,123336.6,202574.0,54.9,,,,58.5,4.0,125.7,820.1,12.2,15.8,3.8,60.0,26.9,35.0,113.7,102.2,89.0,87.5,86.4,69.1,2.1,8.7,3.3,75.8,78.0,78.7,5.7,43.6,1.8,70.2,49.9,221.0,967.0,71.5,29.7,,,59.6,7.4,23.3,15.0,,48.0,68.6,63.0,history,59.887109551533676
Q4 2002,367574.0,286252.0,96.0,5.1,124431.0,203722.0,58.5,,,,55.8,4.0,135.6,884.6,13.3,15.4,7.7,60.5,26.6,30.6,113.4,103.7,89.1,87.4,86.2,69.6,2.3,8.9,3.1,76.8,78.4,78.8,5.9,43.2,1.4,71.8,51.3,223.0,979.0,72.4,30.6,,,60.0,7.3,22.2,14.2,,48.0,69.0,63.6,history,60.64921859986775
Q1 2003,370170.0,291290.0,96.0,5.2,128882.5,207427.0,61.1,,,,51.7,3.8,128.0,859.2,14.0,14.6,8.8,61.1,31.4,30.0,107.9,105.7,88.9,87.5,85.1,69.5,2.3,9.0,2.7,77.9,78.0,79.2,5.9,41.9,1.3,73.3,53.2,170.0,821.0,71.5,31.0,10.8,,59.9,7.5,21.3,13.6,,48.6,69.7,63.2,history,61.71663738927755
Q2 2003,373540.0,295508.0,96.6,4.9,129963.9,208744.0,63.1,,,,56.0,3.8,108.4,699.3,14.2,14.8,11.3,61.8,26.1,21.5,102.9,106.7,89.0,87.5,85.1,69.8,1.9,9.1,2.4,79.1,78.1,79.9,6.1,45.7,1.2,74.7,53.7,135.0,666.0,71.3,31.0,7.1,,58.5,8.2,20.4,12.9,,48.0,70.0,63.2,history,62.61031989299539
Q3 2003,376432.0,299367.0,96.8,5.0,130427.1,210553.0,65.3,,,,59.6,3.5,87.3,601.1,14.7,14.1,9.3,62.5,28.4,19.3,103.2,106.2,89.4,88.1,85.6,69.9,2.0,9.1,2.0,80.3,78.5,81.3,6.1,48.7,1.0,76.5,53.0,118.0,567.0,72.0,32.7,10.6,,62.1,8.3,20.2,13.5,,50.6,70.4,64.2,history,63.427939803343236
Q4 2003,379180.0,303938.0,97.3,4.9,134135.3,214265.0,68.4,,,,62.4,3.6,75.6,473.9,15.1,13.5,7.1,63.2,29.4,17.4,103.4,112.6,90.1,88.9,85.9,74.2,2.0,9.1,2.0,81.6,78.9,82.2,5.8,51.5,1.0,78.7,52.4,103.0,460.0,72.8,33.7,11.3,,62.7,7.7,21.9,14.8,,52.2,70.8,65.8,history,64.39641365931628
Q1 2004,381745.0,307212.0,97.2,4.8,136206.7,214097.0,71.7,,,,64.4,3.9,79.0,420.5,15.3,13.9,6.9,64.2,32.0,16.6,106.1,121.2,90.6,89.4,85.9,72.6,1.7,9.3,2.0,82.8,79.0,82.7,5.7,55.2,1.0,81.2,55.0,94.0,420.0,74.2,34.2,12.1,,64.6,7.3,25.1,19.4,,53.6,71.9,66.7,history,65.09008756096925
Q2 2004,383795.0,313044.0,98.0,4.8,139095.2,217677.0,75.6,,,,64.8,4.2,83.7,398.1,15.3,13.8,5.4,65.0,35.4,16.2,108.2,119.2,91.1,90.1,86.1,73.8,2.3,9.3,2.0,84.3,79.9,83.3,5.6,54.7,1.0,84.0,57.7,96.0,410.0,75.7,34.5,11.8,,65.7,6.9,26.3,21.3,,54.3,72.9,67.1,history,66.32573392457346
Q3 2004,384640.0,315556.0,98.0,4.7,138251.1,222434.0,77.8,,,,64.0,4.7,84.1,402.6,14.6,14.0,8.9,65.8,41.5,15.4,107.4,119.9,91.4,90.5,86.0,73.6,2.2,9.2,2.0,85.9,79.8,84.1,5.4,53.8,1.4,86.6,61.8,96.0,399.0,76.8,35.9,10.3,,66.4,6.6,26.5,21.8,,54.6,74.1,67.3,history,66.8579602046444
Q4 2004,386451.0,319295.0,98.7,4.7,139673.2,222493.0,78.2,,,,68.1,4.8,77.2,340.7,13.1,14.1,7.9,66.6,44.1,13.6,103.8,123.1,91.7,91.1,86.1,75.9,2.3,9.2,2.0,87.6,80.6,84.8,5.4,56.7,1.9,89.3,63.3,88.0,331.0,77.4,36.6,10.6,,67.8,6.7,28.4,24.5,,55.9,74.9,67.7,history,67.65015529269584
Q1 2005,389097.0,322936.0,98.9,4.7,143078.3,223592.0,78.8,,,,71.8,4.8,69.4,284.8,11.7,13.7,11.2,67.3,47.7,12.8,104.1,124.7,91.8,91.1,85.9,76.2,2.0,9.2,2.0,89.1,81.2,85.7,5.3,58.1,2.4,92.7,63.3,84.0,305.0,77.6,38.0,11.3,,68.5,6.2,30.6,27.0,,56.4,75.6,68.3,history,68.42158677587193
Q2 2005,393287.0,331393.0,99.9,4.8,148380.0,228074.0,79.3,,,,72.0,4.8,82.8,378.3,10.8,12.6,16.0,68.1,51.7,13.4,106.4,122.4,92.5,91.4,86.5,78.6,2.0,9.2,2.0,90.7,82.4,86.1,5.1,57.6,2.9,96.0,65.6,100.0,397.0,78.7,38.3,12.0,,70.6,5.8,32.2,29.7,,57.8,77.0,69.5,history,70.2134011272095
Q3 2005,397286.0,334209.0,100.4,4.7,148533.5,230506.0,80.1,,,,77.2,4.6,74.1,374.1,10.2,11.1,16.1,69.0,61.6,12.3,105.6,117.7,93.2,91.9,87.2,78.7,2.3,9.1,2.0,92.3,83.8,86.9,5.0,59.6,3.4,98.9,67.3,89.0,350.0,78.4,39.8,12.0,,72.0,5.6,31.9,30.1,,59.3,78.0,70.5,history,70.81003695709795
Q4 2005,403005.0,341880.0,100.8,5.1,154154.3,234772.0,81.4,,,,79.4,4.5,75.2,376.5,10.2,9.6,17.8,69.9,56.9,12.7,106.1,115.2,93.7,92.6,87.5,81.1,2.3,8.9,2.1,94.0,85.7,87.3,5.0,60.0,4.0,101.8,70.3,94.0,362.0,79.1,41.2,10.3,,72.9,5.3,30.7,29.6,,61.0,78.6,71.2,history,72.4353187223942
Q1 2006,404477.0,346374.0,100.8,5.2,156208.0,232343.0,83.1,,,,86.0,4.5,75.7,350.7,10.5,7.9,16.9,70.9,61.9,12.0,105.2,115.5,94.6,93.2,88.3,82.6,2.3,8.8,2.3,95.6,87.0,88.4,4.7,62.5,4.4,103.9,72.0,89.0,337.0,80.4,42.7,12.1,,74.5,5.1,31.1,28.7,,62.3,79.9,72.5,history,73.38747831739373
Q2 2006,405652.0,350027.0,102.1,5.5,155923.6,235977.0,84.7,,,,86.6,4.5,75.5,296.1,10.7,6.7,15.8,71.9,69.6,14.5,104.9,120.5,95.6,94.2,89.8,82.9,2.5,8.5,2.6,97.1,88.8,88.7,4.6,62.4,4.9,104.3,75.2,91.0,312.0,80.9,43.5,11.0,,75.2,4.9,31.7,30.5,,62.9,81.1,72.9,history,74.16145228279944
Q3 2006,406173.0,353100.0,102.8,5.5,155158.5,241936.0,86.1,,,,86.7,4.7,81.2,281.1,11.0,5.9,18.1,72.9,69.7,13.6,106.2,123.6,96.2,94.2,90.6,84.6,2.1,8.3,2.9,98.3,91.9,88.7,4.6,62.8,5.3,103.6,78.7,97.0,341.0,82.0,44.7,10.8,,76.6,4.8,31.6,31.5,,64.2,82.2,74.1,history,74.81253960710598
Q4 2006,408500.0,357119.0,103.6,5.5,153749.1,245998.0,89.2,,,,91.7,4.9,80.1,235.5,11.4,5.7,18.2,73.9,59.6,11.0,107.2,126.3,97.2,94.9,91.8,84.6,1.8,8.0,3.3,99.6,93.2,89.4,4.4,67.7,5.3,104.1,78.2,93.0,313.0,82.9,46.3,14.3,,77.8,4.5,31.8,31.2,,66.1,83.3,74.5,history,75.66405928051566
Q1 2007,412446.0,363877.0,103.7,5.5,160960.0,247770.0,91.8,,,,94.3,5.2,78.2,202.5,11.5,4.8,18.3,75.2,57.8,12.5,107.6,128.9,98.0,95.5,92.2,89.0,1.9,7.7,3.6,100.6,95.3,89.5,4.5,69.4,5.3,104.5,81.7,90.0,275.0,84.5,48.6,19.5,,78.9,4.4,32.9,32.5,,67.7,84.7,75.8,history,77.09590052284028
Q2 2007,414937.0,367904.0,104.8,5.4,160880.0,253362.0,93.7,,,,98.4,5.4,79.0,208.1,11.2,4.5,17.7,76.2,68.7,13.7,106.3,131.0,98.6,96.2,92.9,87.8,1.9,7.5,3.8,101.6,97.2,90.2,4.5,73.0,5.3,102.9,85.1,94.0,264.0,86.2,50.0,15.3,,80.1,4.3,34.1,34.2,,69.2,85.4,77.0,history,77.94911518440306
Q3 2007,418107.0,373834.0,104.6,5.3,164279.5,257241.0,94.9,,,,95.3,5.7,114.7,342.2,11.0,5.1,16.5,77.0,74.7,21.5,106.1,133.3,99.1,96.5,93.7,86.2,1.9,7.5,4.0,102.7,98.7,90.8,4.7,72.6,5.2,101.0,89.6,132.0,402.0,86.9,51.0,17.6,,81.7,4.1,35.4,36.7,,71.2,86.4,77.9,history,79.20552515288263
Q4 2007,421331.0,378658.0,105.7,5.2,168299.9,257741.0,94.7,,,,95.9,5.7,150.4,492.3,9.9,5.0,16.7,77.7,88.6,22.1,101.9,134.8,99.6,96.8,94.0,90.1,2.9,7.3,4.0,103.3,100.1,91.1,4.8,72.9,4.5,99.4,90.5,172.0,502.0,88.4,52.8,16.2,,83.1,3.7,38.5,41.5,,70.7,87.6,79.3,history,80.22760300919721
Q1 2008,422382.0,383800.0,106.2,5.2,171131.3,255169.0,93.3,,,,87.2,5.4,205.2,725.6,8.8,5.6,14.3,78.3,96.7,26.1,95.3,130.4,100.2,97.3,94.8,88.2,3.4,7.2,4.0,104.3,100.2,90.5,5.0,65.8,3.2,97.3,86.3,242.0,734.0,90.0,54.2,11.5,,84.3,3.3,42.5,45.2,,73.5,88.0,79.7,history,81.3170566445972
Q2 2008,420031.0,383195.0,108.3,5.3,171401.1,260200.0,88.8,,,,88.5,5.0,216.5,738.9,7.2,5.7,13.2,78.8,121.2,20.7,91.1,130.0,99.8,96.7,94.5,87.0,3.6,7.4,4.0,104.5,98.9,90.9,5.3,66.8,2.1,94.5,80.6,253.0,689.0,91.3,55.5,18.0,,83.3,3.3,42.9,46.1,,71.2,89.1,80.1,history,81.18887316551961
Q3 2008,412965.0,379489.0,109.7,5.9,168786.2,258152.0,84.0,,,,79.1,5.0,243.2,872.9,4.9,4.7,9.0,79.1,115.0,25.0,90.8,124.8,99.3,96.5,94.2,86.8,3.8,7.6,4.2,103.9,98.9,90.5,6.0,61.0,2.0,91.8,84.0,314.0,832.0,93.1,55.9,15.4,,82.4,3.3,41.9,44.7,,71.0,89.3,80.8,history,80.40366990359966
Q4 2008,403661.0,373113.0,109.8,6.4,163644.7,261800.0,80.0,,,,62.0,3.4,409.0,1926.7,3.1,3.7,3.8,79.2,55.8,58.3,86.0,103.6,97.5,94.9,92.3,83.3,2.3,8.0,3.4,102.7,97.2,88.6,6.9,44.4,1.1,88.4,80.1,575.0,1760.0,89.3,56.5,13.9,,80.7,3.9,36.8,38.3,,68.5,88.8,78.1,history,79.0527643455852
Q1 2009,397326.0,368571.0,109.4,7.1,160836.7,255365.0,77.4,,,,59.0,1.1,491.6,2323.5,1.6,2.4,2.8,78.2,44.5,44.9,79.4,94.6,94.6,93.4,88.2,83.1,1.0,9.0,2.0,101.3,95.2,87.4,8.3,39.4,0.3,85.1,75.2,529.0,1693.0,87.6,57.6,10.2,,78.0,5.0,36.8,33.9,,66.9,87.4,78.2,history,78.09043482166712
Q2 2009,396514.0,368377.0,110.6,7.8,155673.6,265710.0,77.2,,,,63.1,0.5,440.8,1893.2,0.8,1.1,-1.2,78.5,58.9,33.1,82.1,102.2,94.4,93.4,88.3,82.0,0.2,9.6,1.1,99.9,93.0,87.2,9.3,43.5,0.3,83.8,64.2,412.0,1272.0,89.7,59.9,9.3,,80.8,5.3,39.9,37.2,,69.8,87.1,79.3,history,78.04933135895463
Q3 2009,397125.0,372379.0,111.3,7.8,159273.6,269749.0,79.8,,,,70.2,0.5,287.0,1132.9,0.6,-0.6,-3.2,79.0,68.1,25.5,82.8,108.2,94.7,93.5,88.8,80.6,-0.4,9.9,1.0,99.8,92.5,87.5,9.6,48.5,0.3,84.0,55.4,253.0,903.0,91.9,61.7,8.4,,81.2,5.4,43.3,42.0,,72.8,87.3,81.6,history,78.897249182539
Q4 2009,398528.0,376400.0,112.1,7.8,159249.3,275884.0,81.9,,,,77.8,0.5,228.8,767.9,0.7,-1.2,-2.5,79.8,74.5,23.0,79.8,107.7,95.2,94.1,89.6,80.0,0.4,10.1,1.0,100.2,91.4,88.4,9.9,53.0,0.3,83.9,55.9,204.0,720.0,94.0,63.1,7.3,,82.8,5.1,45.2,44.4,,72.5,87.9,81.9,history,79.74919260298695
Q1 2010,400001.0,383623.0,112.9,8.0,167956.9,279899.0,82.8,,,,80.7,0.5,189.2,625.3,0.8,-1.8,-4.3,81.7,76.4,20.2,81.3,102.8,95.6,94.5,90.3,81.6,1.1,10.2,1.0,100.3,91.3,88.8,9.8,54.7,0.3,82.9,53.9,170.0,621.0,95.5,64.6,9.8,,84.4,4.7,47.9,46.7,,78.5,88.9,83.7,history,81.27955503171005
Q2 2010,403217.0,389013.0,114.4,7.9,170871.0,283903.0,83.4,,,,80.3,0.5,199.2,570.6,0.8,-2.2,-4.1,82.7,78.5,26.3,84.7,98.4,96.5,95.1,92.1,81.1,1.6,10.3,1.0,101.0,92.6,89.6,9.6,55.3,0.3,82.8,59.2,176.0,624.0,97.3,66.3,10.6,,85.8,4.6,49.8,48.8,,82.8,89.4,85.2,history,82.4215532998559
Q3 2010,405186.0,389542.0,114.7,7.8,169700.0,286850.0,82.7,,,,79.7,0.5,212.3,570.0,0.8,-1.9,-3.4,83.7,76.8,24.3,86.6,102.3,96.9,95.7,92.8,82.3,1.7,10.2,1.0,101.3,93.3,90.2,9.5,53.4,0.3,81.6,60.1,184.0,653.0,98.3,67.8,11.2,,86.6,4.3,52.5,50.7,,80.8,90.4,86.0,history,82.53363439147913
Q4 2010,405570.0,393370.0,115.9,7.9,173751.0,286727.0,81.5,,,,86.6,0.5,209.3,567.3,0.5,-1.3,-3.5,84.6,86.7,19.3,84.0,104.2,97.4,96.2,93.6,82.0,2.0,10.1,1.0,102.0,93.8,90.8,9.5,58.7,0.3,80.6,62.1,170.0,570.0,99.4,69.4,13.7,,88.0,4.0,55.2,55.6,,83.1,91.4,86.9,history,83.34468622273373
Q1 2011,408601.0,403445.0,117.6,7.8,180617.8,285376.0,81.5,,,,89.6,0.5,201.1,545.6,0.5,-1.4,-2.4,85.4,105.2,18.5,84.5,105.7,98.3,97.3,95.3,82.8,2.5,10.0,1.0,102.2,94.1,90.4,9.0,63.5,0.3,79.7,64.6,150.0,479.0,100.4,71.2,12.3,71.6,90.3,3.6,59.6,60.6,,85.7,92.3,87.7,history,85.47931192803419
Q2 2011,409994.0,401361.0,119.4,7.9,180601.8,285951.0,81.5,,,,89.4,0.5,196.2,558.4,0.5,-0.7,-1.5,86.3,117.4,17.4,81.8,107.5,98.3,97.2,95.5,84.1,2.8,10.0,1.2,102.3,95.9,91.1,9.1,64.2,0.3,79.3,63.7,149.0,493.0,101.8,72.9,14.2,72.1,90.0,3.6,63.2,66.0,,85.7,92.8,88.3,history,85.03776751415369
Q3 2011,413292.0,405609.0,120.1,8.3,186644.2,286784.0,81.6,,,,82.3,0.5,259.8,743.5,0.5,-0.3,-2.0,87.1,113.4,30.4,82.3,106.1,98.3,97.4,95.9,83.7,2.7,10.2,1.5,102.4,96.1,91.3,9.0,59.7,0.3,78.9,63.7,198.0,660.0,101.7,74.3,14.9,72.1,90.2,3.3,63.0,67.7,,87.1,93.0,88.9,history,85.93780622344562
Q4 2011,413921.0,409065.0,121.3,8.4,186339.4,290201.0,81.5,,,,81.2,0.5,323.4,889.4,0.6,-0.9,-2.9,87.9,109.4,29.9,84.2,103.6,98.0,97.6,95.8,84.9,2.9,10.6,1.3,101.8,95.7,92.3,8.6,59.7,0.3,77.8,67.8,246.0,753.0,101.9,75.4,15.4,71.6,90.6,3.3,62.0,66.7,,86.9,93.7,89.5,history,86.67004110558145
Q1 2012,414835.0,412819.0,121.7,8.2,186725.6,293252.0,81.3,,,,87.3,0.5,314.9,854.6,0.7,-0.6,-2.9,88.5,118.6,18.3,86.5,103.6,97.8,97.7,96.2,83.9,2.7,10.9,1.0,101.6,95.7,92.9,8.3,65.7,0.3,77.7,67.7,214.0,627.0,102.0,76.7,14.0,71.1,90.8,3.3,63.1,66.1,82.9,89.2,94.1,90.0,history,87.46541429641995
Q2 2012,414099.0,411682.0,122.7,8.0,186317.7,297277.0,80.8,,,,83.7,0.5,339.9,915.7,0.8,-0.4,-3.8,89.3,108.3,20.0,89.1,104.3,97.5,97.4,96.3,84.7,2.4,11.3,1.0,100.9,95.7,93.4,8.2,65.8,0.3,79.4,68.1,213.0,641.0,102.8,78.4,12.5,71.0,91.3,3.2,68.9,70.7,77.5,89.8,95.0,90.4,history,87.22451410516172
Q3 2012,418255.0,419285.0,123.0,7.9,190352.7,298793.0,80.5,,,,86.7,0.5,293.5,905.8,0.9,0.1,-3.4,90.0,109.7,16.2,91.2,104.2,97.3,97.6,96.4,83.6,2.5,11.5,0.8,99.8,95.4,93.5,8.0,68.3,0.3,80.6,70.7,189.0,597.0,104.3,79.8,12.5,71.3,92.1,3.3,72.0,74.9,77.1,88.6,95.3,90.8,history,88.8353884711567
Q4 2012,418024.0,421427.0,124.5,7.8,192532.4,297037.0,80.9,,,,88.7,0.5,232.5,715.6,0.9,1.2,-2.8,90.7,110.2,16.8,89.4,105.9,96.9,97.6,96.0,83.8,2.3,11.8,0.8,99.6,94.9,93.5,7.8,69.1,0.3,82.0,71.4,157.0,552.0,104.5,81.4,11.4,72.4,93.1,3.3,76.8,81.4,82.2,90.5,95.7,91.4,history,89.28922154914713
Q1 2013,420431.8,425516.0,125.1,7.8,195605.3,296840.0,81.8,,,,96.1,0.5,191.4,510.1,0.7,2.4,-2.7,91.5,112.6,13.6,84.9,102.4,96.7,97.7,95.7,83.5,1.9,12.0,0.8,98.8,94.7,93.9,7.7,73.8,0.3,84.1,72.7,145.0,483.0,105.1,82.8,6.0,77.3,93.8,3.5,80.8,87.7,86.7,91.7,96.0,92.0,history,90.15557236889637
Q2 2013,423322.3,430110.0,126.0,7.8,195822.7,299881.0,82.8,,,,98.6,0.5,175.2,495.7,0.8,3.3,-3.4,92.2,102.6,14.8,84.9,101.2,97.1,98.5,96.6,83.5,1.4,12.1,0.6,98.5,94.7,94.2,7.5,78.4,0.3,86.6,76.5,149.0,466.0,106.7,84.2,5.8,81.0,94.3,3.4,82.1,89.7,82.7,93.7,96.9,92.9,history,91.12891931580955
Q3 2013,427170.3,438163.0,126.4,7.6,204172.5,303563.0,84.7,,,,100.7,0.5,169.0,487.0,0.9,4.4,-2.0,93.0,110.3,14.4,84.5,102.2,97.3,98.4,96.9,87.5,1.3,12.0,0.5,98.3,94.4,94.9,7.3,81.6,0.3,88.8,80.6,154.0,468.0,107.3,86.1,11.5,84.2,94.8,3.4,83.6,91.0,83.1,93.8,97.2,93.7,history,92.83513676541597
Q4 2013,430480.9,441160.0,127.1,7.2,207114.0,303505.0,86.8,,,,102.4,0.5,147.8,422.9,1.1,4.9,-0.3,93.8,109.3,14.2,85.8,106.8,97.5,98.6,97.2,86.3,0.8,11.9,0.4,98.1,93.8,95.8,6.9,86.2,0.3,90.9,82.5,142.0,430.0,107.1,87.5,7.9,85.9,95.7,3.3,83.5,90.7,87.5,95.5,98.4,94.5,history,93.47012170226813
Q1 2014,433698.7,446503.0,127.2,6.8,210298.1,306234.0,89.1,,,,104.2,0.5,138.8,358.2,1.4,5.4,-1.3,94.6,108.2,14.8,87.2,109.1,97.7,98.4,97.9,87.7,0.7,11.8,0.3,98.3,94.1,95.6,6.7,89.4,0.3,92.4,82.6,124.0,393.0,107.8,88.9,9.8,86.9,96.5,3.1,83.1,91.4,91.7,95.8,98.0,95.5,history,94.60216191501456
Q2 2014,437283.2,453326.0,128.1,6.3,217842.7,309516.0,91.2,,,,104.9,0.5,132.4,327.6,1.7,5.7,0.3,95.4,109.7,12.7,88.6,111.0,97.8,98.3,97.9,88.7,0.6,11.6,0.2,98.5,95.3,96.6,6.2,92.6,0.3,92.8,86.1,112.0,365.0,106.3,90.5,9.3,86.6,96.4,3.2,84.3,92.1,88.9,96.2,98.1,96.0,history,96.04777493608306
Q3 2014,440503.8,458342.0,128.2,6.0,220240.8,311552.0,93.2,,,,104.6,0.5,134.5,374.8,1.9,6.1,-0.1,96.2,102.1,13.0,90.9,110.1,98.1,98.5,98.1,90.6,0.3,11.6,0.1,98.8,96.0,97.7,6.1,96.3,0.3,93.4,88.2,112.0,389.0,106.2,92.1,8.8,84.0,97.7,3.3,88.9,93.1,90.0,96.7,98.7,96.8,history,97.11053250807184
Q4 2014,443488.2,459063.0,128.3,5.7,217696.7,314928.0,93.9,,,,101.4,0.5,146.4,441.6,1.9,6.7,-1.5,96.9,76.3,16.0,91.5,104.4,98.4,98.6,98.7,91.6,0.2,11.5,0.1,98.8,96.0,98.2,5.7,97.9,0.3,95.0,91.0,133.0,468.0,106.3,93.7,7.9,83.2,98.1,3.3,93.4,93.9,93.2,98.3,99.7,97.0,history,97.26329331536928
Q1 2015,445789.9,461193.0,127.4,5.5,217549.6,311947.0,95.3,,,,106.1,0.5,135.8,412.2,1.9,7.0,0.0,97.6,53.9,16.7,97.1,99.9,99.0,99.3,99.1,93.6,-0.3,11.2,0.1,99.2,96.4,98.3,5.6,100.6,0.3,96.4,93.8,142.0,489.0,105.5,94.9,8.3,83.4,98.7,3.3,98.4,95.0,97.8,98.4,100.0,97.8,history,97.71458391113008
